127.0.0.1, 2019-04-23 12:42:12, GET, /admin/static/_2.18.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-23 12:42:12, GET, /admin/static/_2.18.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.014004
127.0.0.1, 2019-04-23 12:42:12, GET, /admin/static/_2.18.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.121031
127.0.0.1, 2019-04-23 12:42:12, GET, /admin/static/_2.18.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.006004

127.0.0.1, 2019-04-23 12:42:12, GET, /admin/static/_2.18.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.004001
127.0.0.1, 2019-04-23 12:42:12, GET, /admin/static/_2.18.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.005013
127.0.0.1, 2019-04-23 12:42:12, GET, /admin/static/_2.18.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2019-04-23 12:42:12, GET, /admin/static/_2.18.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001999
127.0.0.1, 2019-04-23 12:42:12, GET, /admin/static/_2.18.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.128033
127.0.0.1, 2019-04-23 12:42:12, GET, /admin/static/_2.18.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.002001
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.008003
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.010003
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.019003
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.005001
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.021004
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.005003
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.009002
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/js/typeahead.min.js, HTTP/1.1, 200, 0.002002
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.009003
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.002101
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002037
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/js/ajax_editor.js, HTTP/1.1, 200, 0.010002
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.006965
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/images/files_toggle.png, HTTP/1.1, 200, 0.001999
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/default/edit/gui/models/db.py, HTTP/1.1, 200, 0.206051
127.0.0.1, 2019-04-23 12:42:13, GET, /admin/static/_2.18.5/images/save_icon.png, HTTP/1.1, 200, 0.002000
